가맹점명,업종,주소,행정구역,지역구분,이용건수구간,이용금액구간,월요일,화요일,수요일,목요일,금요일,토요일,일요일,5시11시(아침),12시13시(점심),14시17시(오후),18시22시(저녁),23시4시(새벽),현지인이용건수비중,남성,여성,20대이하,30대,40대,50대,60대이상,URL
동막골,가정식,제주 제주시 아라일동 2382-6번지 1층,아라일동,제주,5,4,14.47,13.22,14.5,13.46,11.16,14.25,18.95,14.37,39.56,18.63,27.43,0,81.25,62.02,37.98,2,9.3,26.22,35.87,26.64,
조아찌,단품요리 전문,제주 제주시 이호일동 1962-4번지,이호일동,제주,4,1,17.67,11.16,14.38,11.94,14.24,17.08,13.52,20.93,18.2,29.4,31.29,0.18,23.78,48.32,51.68,26.98,29.33,20.52,18.5,4.65,
족발신선생제주점,단품요리 전문,제주 제주시 연동 290-55번지 1층,연동,제주,3,3,14.75,13.34,14.47,15.04,11.46,16.9,14.05,0.29,0,6.96,72.17,20.57,71.43,65.58,34.42,15.62,28.73,23.63,22.78,9.21,
순대이야기,단품요리 전문,제주 서귀포시 동홍동 1189번지,동홍동,서귀포,5,5,17.8,17.13,18.93,17.24,15.23,13.66,0,24.1,39.09,20.4,16.41,0,71.3,61.08,38.92,9.2,19.39,30.33,26.45,14.58,
기쁨이네해물탕앤돌솥밥,가정식,제주 제주시 조천읍 함덕리 1269-17번지,조천읍,조천읍,3,4,15.27,17.41,19.47,0.19,16.09,14.66,16.91,25.85,15.39,11.45,47.31,0,6.71,49.71,50.29,6.67,22.08,30.95,27.3,13.01,https://pcmap.place.naver.com/place/16886859/home
본돈,가정식,제주 서귀포시 서귀동 255-13번지,서귀동,서귀포,2,3,14.34,17.58,17.19,18.85,14.77,17.27,0,0,0,3.36,96.35,0.3,11.04,55.36,44.64,24.78,29.17,19.79,20.53,5.77,https://pcmap.place.naver.com/place/1880758258/home
비에이치씨치킨일도점,치킨,제주 제주시 일도이동 133-30번지 지 1층 101호,일도이동,제주,3,1,8.12,11.67,14.08,14.76,20.19,16.98,14.2,0,4.89,17.04,73.22,4.85,78.16,48.67,51.33,9.56,13.19,35.3,29.04,12.91,https://pcmap.place.naver.com/place/1062927054/home
보레드베이커스,단품요리 전문,제주 서귀포시 보목동 1453번지,보목동,서귀포,5,4,13.46,13.51,12.8,12.33,12.59,17.33,17.97,29.68,20.91,35.24,14.16,0,18.98,41.49,58.51,25.89,33.89,19.63,14.26,6.36,
일도바다장어구이,단품요리 전문,제주 제주시 일도이동 392-1번지,일도이동,제주,1,2,10.77,13.27,21.96,8.99,22.48,19.9,2.64,0,0,2.78,97.22,0,83.89,74.6,25.4,5.1,11.95,30.6,39.15,13.15,https://pcmap.place.naver.com/place/16691780/home
우돈숯불,가정식,제주 제주시 노형동 1276-11번지 1층,노형동,제주,1,2,19.39,15.75,20.07,8.96,16.38,17,2.45,0,0,1.22,97.02,1.76,66.8,59.16,40.84,4.77,16.28,44.81,24.48,9.7,
검은노루,단품요리 전문,제주 서귀포시 대정읍 상모리 3169-10번지 1층,대정읍,대정읍,3,2,16.2,16.85,16.25,0,13.83,19.45,17.43,10.47,43.01,29.46,17.06,0,25.77,54.71,45.29,21.6,33.57,26.3,13.87,4.63,https://pcmap.place.naver.com/place/1754050518/home
아리나블루문,단품요리 전문,제주 제주시 연동 1498-2번지 4층,연동,제주,1,4,17.6,15.91,11.17,18.64,18.48,11.25,6.96,0.75,0,0,30.45,68.8,48.41,78.64,21.36,1,9.79,39.04,44.21,5.94,https://pcmap.place.naver.com/place/1425437950/home
궁중오메기떡,떡/한과,제주 제주시 노형동 2613-1번지,노형동,제주,4,4,16.35,13.46,13.81,14.63,12.49,15.75,13.5,34.17,18.17,39.86,7.8,0,12.53,45.55,54.45,20.26,21.97,20.11,22.81,14.84,
꼴통집본점,단품요리 전문,제주 제주시 연동 273-39번지 1층,연동,제주,1,2,12.32,18.54,15.22,11.38,12.95,12.45,17.13,12.96,0,0.67,53.83,32.55,56.51,62.4,37.6,32.56,40,15.36,10.82,1.28,https://pcmap.place.naver.com/place/1116295877/home
산지물신제주점,가정식,제주 제주시 연동 271-9번지,연동,제주,4,5,14.67,13.69,15.15,13.18,13.93,14.09,15.3,5.3,19.09,22.64,52.34,0.63,30.02,60.24,39.76,10.69,19.16,25.52,28.73,15.93,https://pcmap.place.naver.com/place/19987020/home
화성식당,가정식,제주 제주시 삼양이동 2137-26번지,삼양이동,제주,4,4,13.43,14.43,13.53,12.57,13.3,14.19,18.55,45.73,51.76,2.5,0,0,42.06,68.7,31.3,17.3,34.32,25.07,16.4,6.93,https://pcmap.place.naver.com/place/32156714/home
뚜레쥬르 노형오거리점,베이커리,제주 제주시 노형동 1064-7번지 아일랜드빌딩 B동 1층,노형동,제주,5,3,13.61,14.57,16.24,13.62,14.2,15.19,12.57,22.52,9.37,23.85,40.53,3.74,80.68,42.97,57.03,14.05,22.64,28.37,25.38,9.58,
그랜마스,양식,제주 제주시 노형동 3788-3번지 1층,노형동,제주,4,3,13.96,15.79,14.27,13.29,13.35,14.07,15.27,40.05,28.95,23.61,7.4,0,56.47,33.9,66.1,17.74,31.03,30.26,15.46,5.5,https://pcmap.place.naver.com/place/1826224624/home
우유부단,단품요리 전문,제주 제주시 한림읍 금악리 142-2번지,한림읍,한림읍,6,5,13.48,13.64,12.63,12.49,12.53,17.32,17.91,18.49,28.34,53.13,0.04,0,6.77,46.54,53.46,21.98,30.91,23.7,15.95,7.44,https://pcmap.place.naver.com/place/37927894/home
장가네일품순두부표선점,가정식,제주 서귀포시 표선면 표선리 568번지,표선면,표선면,4,4,15.96,14.42,14.15,15.99,14.66,11,13.82,28.49,26.56,14.05,30.91,0,39.7,64.71,35.29,7.21,13.65,30.27,27.25,21.62,https://pcmap.place.naver.com/place/1482208265/home
샤브마니아 제주스카이워터쇼점,단품요리 전문,제주 제주시 구좌읍 송당리 2764-1번지 1층 3호,구좌읍,구좌읍,2,3,15.21,13.92,13.85,13.48,10.18,14.48,18.87,1.88,54.96,29.86,13.3,0,26.26,51.66,48.34,6.14,21.9,36.4,22.57,13.03,https://pcmap.place.naver.com/place/1544360496/home
수원왕,가정식,제주 제주시 삼양이동 2142-8번지,삼양이동,제주,2,4,16.45,14.18,15,13.34,12.78,12.69,15.57,0,0.55,7.71,91.74,0,87.79,66.3,33.7,3.35,13.99,25.67,34.78,22.19,
제주올래국수,단품요리 전문,제주 제주시 용담이동 2753-9번지 1층,용담이동,제주,3,2,18.26,18.25,17.32,16.08,13.89,0,16.2,25.76,48.47,15.09,10.69,0,14.69,65.55,34.45,25.7,25.8,21.78,16.98,9.72,
파리바게트 제주서사라점,베이커리,제주 제주시 삼도일동 519-15번지 세종빌딩 1층,삼도일동,제주,5,4,15.28,13.31,12.68,14.69,16.34,15.34,12.37,24.15,17.12,26.23,32.45,0.05,76.01,41.88,58.13,11.28,18.97,27.94,25.68,16.11,
나목도식당,단품요리 전문,제주 서귀포시 표선면 가시리 1877-6번지,표선면,표선면,3,3,14.68,11.27,8.65,16.97,11.01,15.97,21.43,17.01,47.19,19.5,16.3,0,39.73,64.31,35.69,5.79,16.34,27.85,31.22,18.79,https://pcmap.place.naver.com/place/19877579/home
디트,단품요리 전문,제주 제주시 도남동 923-15번지 1층,도남동,제주,2,2,3.75,11.63,14.02,12.72,21.3,19.17,17.4,0,2.69,7.64,76.79,12.88,82.63,49.48,50.52,58.2,23.09,7.34,9.81,1.57,https://pcmap.place.naver.com/place/1770117980/home
디어브리즈,커피,제주 제주시 구좌읍 월정리 491번지 1층,구좌읍,구좌읍,4,1,14,11.75,14.32,10.05,11.51,19.22,19.14,8.72,28.3,57.48,5.5,0,2.72,21.3,78.7,50.04,27,13.8,7.46,1.7,
제주에가면,가정식,제주 제주시 삼도이동 1158-22번지 1층,삼도이동,제주,5,5,16.61,0.08,17.23,14.88,12.7,16.85,21.65,48.74,27.86,23.39,0,0,3.12,48.09,51.91,26.87,29.03,19.08,19.07,5.93,https://pcmap.place.naver.com/place/1264748638/home
칠공팔공구공용담라이브,단품요리 전문,제주 제주시 용담삼동 516-2번지 세진아파트 204호,용담삼동,제주,1,1,11.67,18.61,4.72,12.22,21.67,16.94,14.17,0,0,0,45.28,54.72,49.79,81.8,18.22,3.08,5.84,21.82,46.98,22.32,https://pcmap.place.naver.com/place/1739965967/home
투썸플레이스 제주아라점,커피,제주 제주시 아라일동 6134-2번지 1층,아라일동,제주,5,3,14.57,13.73,13.25,12.79,13.72,16.46,15.48,18.55,18.59,33.77,29.09,0,80.43,38.91,61.09,20.48,31.77,30.73,14.02,3.03,https://pcmap.place.naver.com/place/1040282355/home
스시우다,일식,제주 제주시 용담삼동 521-2번지 1층,용담삼동,제주,3,4,17.01,16.94,0.16,16.45,16.28,16.47,16.71,0.41,18.43,24.33,56.66,0.16,31.34,59.35,40.65,22.68,28.7,19.71,19.52,9.39,https://pcmap.place.naver.com/place/37372516/home
노랑통닭 표선점,치킨,제주 서귀포시 표선면 세화리 133-6번지 1층,표선면,표선면,2,1,16.06,15.99,0,15.82,16.65,11.99,23.5,0,0,16.59,82.55,0.85,30.16,64.37,35.63,9.23,22,43.63,18.33,6.77,https://pcmap.place.naver.com/place/1516276376/home
친구,맥주/요리주점,제주 제주시 연동 1953-3번지,연동,제주,1,4,0,0,0,25,0,29.17,45.83,0,0,25,45.83,29.17,96.43,56.4,43.6,27.85,2.65,12.95,48.2,8.4,
다가온 추어탕,단품요리 전문,제주 서귀포시 동홍동 104-12번지 1층,동홍동,서귀포,4,4,17.62,16.96,17.58,17.1,14.49,16.25,0,12.54,41.08,17.83,28.55,0,80.07,55.97,44.03,1.48,6.54,19.92,31.96,40.1,
이디야커피제주아라스위첸점,커피,제주 제주시 아라일동 6094번지 1층,아라일동,제주,5,2,14.03,12.41,16.48,13.94,13.5,15.55,14.07,22.81,23.41,28.15,25.63,0,78.65,41.47,58.53,24.16,30.03,29.97,12.38,3.46,https://pcmap.place.naver.com/place/1706182902/home
먹자,가정식,제주 제주시 연동 1951-3번지,연동,제주,1,2,44.44,0,22.22,22.22,11.11,0,0,0,0,22.22,77.78,0,93.33,58.1,41.9,1.6,19.4,16.1,48.4,14.5,
범일분식,분식,제주 서귀포시 남원읍 남원리 139-7번지,남원읍,남원읍,4,3,16.46,16.09,16.04,15.53,15.8,0,20.08,54.07,38.87,7.06,0,0,22.88,59.75,40.25,20.46,36.75,22.03,14.11,6.63,https://pcmap.place.naver.com/place/17069378/home
게우지코인 인 갤러리,단품요리 전문,제주 서귀포시 하효동 1371번지,하효동,서귀포,5,4,13.91,8.01,13.33,13.83,13.94,17.84,19.15,20.34,31.09,45.9,2.68,0,27.64,45.78,54.22,10.56,21.23,26.63,26.14,15.42,
신창해물라면와랑식탁,분식,제주 제주시 한경면 신창리 1317-1번지 1층,한경면,한경면,2,1,3.23,0,12.9,16.13,19.35,29.03,19.35,0,54.84,45.16,0,0,3.64,44.9,55.1,25.9,27.8,22,19.5,4.9,https://pcmap.place.naver.com/place/1126427625/home
파리바게뜨제주제스코본점,베이커리,제주 제주시 도남동 277번지 1층 2호,도남동,제주,6,6,14.17,13.43,13.79,13.37,13.34,15.98,15.92,25.91,15.03,30.99,26.78,1.29,84.5,41.88,58.12,6.09,26.48,35.26,22.6,9.58,https://pcmap.place.naver.com/place/1480720961/home
산내들,가정식,제주 제주시 오라일동 2444-21번지 1층,오라일동,제주,4,4,19.04,20.15,14.74,15.29,14.72,0.65,15.42,25.28,28.58,19.52,26.63,0,80.43,82.78,17.23,5.83,12.62,33.21,34.96,13.38,https://pcmap.place.naver.com/place/16775476/home
마루아라,단품요리 전문,제주 서귀포시 서귀동 417-19번지,서귀동,서귀포,1,2,17.27,15.14,11.64,14.24,12.79,17.47,11.45,0,0.63,0,34.74,64.63,47.53,56.72,43.28,35.96,25.78,27.88,8.14,2.22,https://pcmap.place.naver.com/place/37897675/home
대중적한우,단품요리 전문,제주 제주시 일도이동 62-4번지 1층,일도이동,제주,2,5,18.45,16.43,13.72,16.28,18.84,15.97,0.32,0,0,2.66,96.78,0.57,81.43,69.29,30.71,7.13,29.63,34.9,23.58,4.75,https://pcmap.place.naver.com/place/1592421470/home
어우렁더우렁,가정식,제주 제주시 화북일동 1967-1번지,화북일동,제주,1,2,15.65,14.77,14.69,16.57,13.73,12.34,12.24,0,0,1.72,95.28,3,88.1,65.78,34.22,7.86,18.28,33.04,29.13,11.69,https://pcmap.place.naver.com/place/1262069022/home
대원가,단품요리 전문,제주 제주시 도남동 62-1번지 재영샤르빌 101호,도남동,제주,3,4,18.17,15.52,0,17.84,17.8,13.78,16.89,11.24,33.53,19.55,35.68,0,29.42,57.74,42.26,6.21,19.48,23.02,29.63,21.67,https://pcmap.place.naver.com/place/19863472/home
오늘와인한잔제주노형점,맥주/요리주점,제주 제주시 노형동 934번지 1동 2층,노형동,제주,3,3,13.51,13.45,11.42,12.91,15.29,17.23,16.2,0,0,1.6,48.6,49.8,58.31,55.53,44.47,23.18,28.37,26.79,17.44,4.25,https://pcmap.place.naver.com/place/1246477567/home
아뜰리에안,단품요리 전문,제주 서귀포시 법환동 1541번지,법환동,서귀포,4,2,13.67,14.01,12.87,13.83,11.14,15.15,19.33,24.91,26.89,33.98,14.22,0,27.02,51.67,48.33,15.39,25.87,23.34,24.28,11.13,https://pcmap.place.naver.com/place/97952835/home
매니아  불닭  용담점,단품요리 전문,제주 제주시 용담이동 623-23번지,용담이동,제주,3,2,15.69,0.41,16.51,15.39,19.07,17.19,15.72,0,0,9.66,72.85,17.49,88.85,63.46,36.54,19.93,31.46,23.98,16.68,7.97,https://pcmap.place.naver.com/place/16750702/home
TONKATSU 서황,일식,제주 제주시 애월읍 소길리 794-1번지 동상가,애월읍,애월읍,4,4,0,0,19.81,17.99,17.1,21.86,23.24,0.46,51.02,24.09,24.43,0,15.33,52.15,47.85,18.76,35.18,23.58,13.97,8.5,https://pcmap.place.naver.com/place/1500008137/home
라헌,단품요리 전문,제주 제주시 오라이동 1758번지 1층 101호,오라이동,제주,5,4,13.75,14.8,12.65,8.02,9.68,23.55,17.54,12.49,34.3,43.71,9.5,0,66.54,38.9,61.1,6.48,29.53,39.65,17.1,7.23,
제주문,단품요리 전문,제주 제주시 일도일동 1479-1번지 1층,일도일동,제주,3,3,10.94,10.46,13.39,14.11,17.25,14.32,19.53,23.71,17.49,43.73,15.08,0,3.14,45.58,54.42,15.44,25.47,27.31,20.74,11.05,
맛무한가마솥막창국밥아라점,가정식,제주 제주시 아라일동 6082-17번지,아라일동,제주,4,3,12.3,15.73,14.26,14.27,14.88,13.27,15.3,21.12,28.53,19.85,29.74,0.76,72.71,71.95,28.05,8.15,18.46,26.61,28.72,18.07,
솥마루,커피,제주 제주시 오라이동 3100-3번지 1층,오라이동,제주,3,2,14.34,13.29,15.02,16.8,13.54,14.85,12.16,6.84,42.04,24.32,26.79,0,59.32,49.81,50.19,10.73,20.49,29.9,25.86,13.04,https://pcmap.place.naver.com/place/1241210061/home
조실장회센타,단품요리 전문,제주 제주시 이도이동 1018-12번지 1층,이도이동,제주,2,2,15.52,17.19,0,13.05,17.9,19.76,16.59,0,1.35,11.6,83.09,3.96,59.45,63.73,36.27,18.65,27.77,25.71,21.19,6.66,https://pcmap.place.naver.com/place/1917701547/home
수만바베큐치킨,치킨,제주 제주시 아라일동 6094-1번지 1층 103호,아라일동,제주,3,3,14.06,14.24,14.87,11.84,14.44,15.53,15.02,0,0.28,6.05,67.25,26.42,84.91,67.2,32.8,10.75,17.82,38.43,26.65,6.36,https://pcmap.place.naver.com/place/1318207089/home
솔향바다가든,단품요리 전문,제주 제주시 애월읍 곽지리 1380번지 지하1층,애월읍,애월읍,1,3,12.07,16.56,4.28,11.12,16.99,17.83,21.15,0,8.01,12.77,79.22,0,3.77,54.45,45.55,24.67,29.95,22.44,18.41,4.5,https://pcmap.place.naver.com/place/19873266/home
청수미방,양식,제주 제주시 한경면 청수리 2052번지 1층,한경면,한경면,2,2,15.85,18.92,14.75,13.91,13.68,7.53,15.37,17.64,55.67,26.69,0,0,31.09,33.01,66.99,13.51,23.61,43.58,13.49,5.81,https://pcmap.place.naver.com/place/1059563753/home
컴포즈커피서귀포창천점,커피,제주 서귀포시 안덕면 창천리 414-1번지 1층,안덕면,안덕면,5,1,16.56,11.98,14.16,13.46,13.56,13.97,16.3,28.68,30.19,41.01,0.12,0,25.76,60.9,39.1,13.76,28.72,33.62,17.98,5.96,https://pcmap.place.naver.com/place/1391779096/home
오른발왼발서귀포점,가정식,제주 서귀포시 서귀동 416-2번지 108호,서귀동,서귀포,2,1,3.33,3.33,13.33,13.33,20,26.67,20,0,0,3.33,46.67,50,77.13,46.4,53.6,12.8,16.6,43.6,21.8,5.2,https://pcmap.place.naver.com/place/16966733/home
중문자연산횟집2호점,단품요리 전문,제주 서귀포시 색달동 2481-7번지 1층,색달동,서귀포,1,3,10.98,10.5,13.19,15.83,18.68,16.33,14.49,0,0,1.57,88.2,10.22,1.71,69.72,30.28,12.69,31.39,25.92,19.9,10.08,
이화닭발 1979,단품요리 전문,제주 제주시 연동 282-40번지,연동,제주,2,2,5.74,7.81,19.82,12.26,16.59,17.41,20.38,0,0,0.65,57.26,42.09,69.03,56.29,43.71,23.76,24.78,33.83,14.93,2.67,https://pcmap.place.naver.com/place/36834364/home
보말과비바리,가정식,제주 제주시 화북일동 12-4번지 상가동 106호,화북일동,제주,2,1,15.93,0,20.21,15.14,12.91,16.79,19.02,17.89,43.17,30.51,8.43,0,44.02,54.25,45.75,11.52,23.32,28.27,24.29,12.56,https://pcmap.place.naver.com/place/37373561/home
삼대국수회관노형점,단품요리 전문,제주 제주시 노형동 3791-7번지 101호,노형동,제주,6,5,15.67,0,16.81,16.32,14.57,18.29,18.35,18.47,31.36,23.54,26.63,0,58.34,65.85,34.15,12.29,22.78,31.8,24.4,8.75,
메로,가정식,제주 제주시 이도이동 1142-1번지,이도이동,제주,3,3,19.72,17.26,22.64,14.9,18.17,7.32,0,23.91,49.59,11.92,14.59,0,61.07,63.08,36.92,9.22,18.92,32.02,26.94,12.89,https://pcmap.place.naver.com/place/13444856/home
산방산,가정식,제주 제주시 연동 273-34번지 1층,연동,제주,3,4,14.02,15.44,11.89,13.79,13.26,17.34,14.26,18.7,0,1.09,36.03,44.18,68.66,64.88,35.12,13.62,24.58,26.84,24.3,10.68,
듬삭한,단품요리 전문,제주 제주시 한림읍 협재리 1398-2번지 1층,한림읍,한림읍,3,2,15.75,0,19.13,17.44,13.83,17.49,16.37,15.72,35.33,36.44,12.51,0,13.81,47.45,52.55,45.16,33.34,11.1,8.35,2.06,https://pcmap.place.naver.com/place/1549848519/home
삼원정,가정식,제주 서귀포시 색달동 2282번지,색달동,서귀포,3,5,14.07,10.64,8.17,13.51,14.95,21.2,17.46,2.04,27.49,21.23,49.24,0,2.17,51.53,48.48,8.41,24.08,29.27,22,16.28,
산아,중식,제주 제주시 이도이동 2002-13번지 1층,이도이동,제주,2,2,14.82,15.12,15.56,18.51,20.79,14.86,0.34,0,0,0,80.72,19.28,82.49,65.23,34.77,12.87,31.41,33.55,18.9,3.27,https://pcmap.place.naver.com/place/1603892905/home
해미가,가정식,제주 제주시 애월읍 하귀2리 2740-5번지 1층,애월읍,애월읍,3,3,9.3,16.31,18.4,4.88,13.39,17.62,20.09,13.49,22.14,25.34,39.03,0,7.3,52.89,47.11,10.53,15.66,25.52,31.68,16.59,https://pcmap.place.naver.com/place/1957182813/home
신사본가송탄부대찌개,단품요리 전문,제주 제주시 연동 291-67번지,연동,제주,3,2,15.53,20.88,17.23,16.35,12.68,17.33,0,5.45,39.38,15.86,39.3,0,71.12,64.85,35.15,13.29,25.8,27.11,25.91,7.93,https://pcmap.place.naver.com/place/1135204983/home
충세흑돼지고기마씸,단품요리 전문,제주 제주시 도련일동 1769-5번지 2층,도련일동,제주,1,2,10.26,27.25,12.68,11.9,14.64,10.98,12.29,5.71,9.29,0,85,0,62.72,61.62,38.38,15.68,26.96,25.56,19.98,11.78,https://pcmap.place.naver.com/place/1055429542/home
날로먹고볶음먹고,가정식,제주 서귀포시 동홍동 497-3번지 동홍동,동홍동,서귀포,1,1,15.35,2.53,11.29,15.32,12.16,23.05,20.3,0,0.77,13.93,81.6,3.69,55.42,66.27,33.73,11.07,16.51,31.22,31.36,9.87,
한성식당,가정식,제주 서귀포시 성산읍 성산리 202-1번지 성산읍,성산읍,성산읍,1,1,9.57,20.78,13.57,12.34,9.85,13.59,20.31,6.1,33.29,34.64,25.97,0,4.48,53.5,46.5,8.1,17.63,28.53,26.33,19.43,https://pcmap.place.naver.com/place/32505224/home
카페노티드 제주애월,단품요리 전문,제주 제주시 애월읍 애월리 2527-3번지 2층,애월읍,애월읍,6,6,14.13,14.03,13.24,13.49,12.74,15.89,16.48,17.05,23.35,48.89,10.72,0,7.45,39.8,60.2,29.86,34.73,23.49,9.44,2.47,
봉봉탕후루동문시장본점,단품요리 전문,제주 제주시 일도이동 1006-38번지 1층,일도이동,제주,5,3,13.7,12.63,12.05,11.92,13.56,19.38,16.77,5.76,14.22,35.47,44.53,0.02,7,44.08,55.93,25.53,27.54,34.19,10.34,2.39,
오후새우시,가정식,제주 서귀포시 중문동 2119-3번지,중문동,서귀포,4,3,12.49,14.77,15.33,9.61,14.74,16.3,16.75,27.41,29.98,36.48,6.13,0,5.65,41.65,58.35,37.23,33.83,17.9,8.77,2.29,https://pcmap.place.naver.com/place/1831797560/home
오키나와,일식,제주 제주시 노형동 747-1번지,노형동,제주,4,5,16.25,16.16,16.49,17.59,17.98,15.53,0,1.64,43.18,10.52,44.66,0,68.12,54.73,45.27,2.65,9.08,30.75,35.76,21.74,https://pcmap.place.naver.com/place/32159667/home
이금돈지,가정식,제주 제주시 연동 293-44번지,연동,제주,4,6,13.13,15.22,12.45,12.94,14.07,15.05,17.12,5.94,19.93,22.05,51.75,0.32,4.01,52.41,47.59,15.75,21.63,21.93,25,15.73,https://pcmap.place.naver.com/place/12801864/home
역전할머니맥주 제주시청점,맥주/요리주점,제주 제주시 이도이동 1773-26번지 이도이동,이도이동,제주,5,5,11.74,13.67,12.68,11.73,14.89,19.2,16.09,0.43,0,0.15,42.41,57.02,72.08,60.33,39.68,51.83,25.48,12.05,8.56,2.08,https://pcmap.place.naver.com/place/1032183941/home
해오반함덕점,단품요리 전문,제주 제주시 조천읍 함덕리 1004-17번지 2층,조천읍,조천읍,4,5,15.12,16.03,13.13,13.37,11.63,13.62,17.11,19.23,23.08,22.06,35.62,0,4.01,45.83,54.18,16.43,30.86,26.9,18.83,6.98,https://pcmap.place.naver.com/place/1133698803/home
주식회사 제이스퀘어드푸드,단품요리 전문,제주 서귀포시 중문동 2117-5번지 1층,중문동,서귀포,3,3,16.33,17.35,19.7,15.87,14.29,16.47,0,6.44,36.85,20.85,35.86,0,14.82,53.08,46.92,24.07,34.7,26.76,9.76,4.7,
돈구어,가정식,제주 제주시 구좌읍 세화리 3642-5번지 1층,구좌읍,구좌읍,2,3,15.9,9.92,17.22,15.09,14.62,14.22,13.04,1.82,17.26,18.21,62.72,0,10.25,51.43,48.58,24.6,28.65,24.15,16.23,6.36,https://pcmap.place.naver.com/place/34621576/home
빨간집베라체점,가정식,제주 제주시 이도이동 1965-14번지 1층,이도이동,제주,2,1,14.47,15.63,13.36,12.19,12.37,15.94,16.04,0,0.22,1.5,65.8,32.47,90.82,52.1,47.9,24.49,27.62,31.2,13.54,3.16,https://pcmap.place.naver.com/place/35333907/home
케렌시아,단품요리 전문,제주 서귀포시 하효동 1305번지 2층,하효동,서귀포,4,2,17.82,9.9,0,13.86,11.88,19.8,26.73,9.9,21.78,57.43,10.89,0,30.4,43.5,56.5,26,27.3,18.7,19.5,8.5,
교래퐁낭,가정식,제주 제주시 조천읍 교래리 232번지 1층,조천읍,조천읍,3,3,13.7,14.2,9.66,16.3,17.65,15.29,13.21,24.53,48.23,8.31,18.94,0,24.99,61.97,38.03,7.13,19.33,25.87,30.33,17.3,
한라식당,가정식,제주 서귀포시 표선면 성읍리 987-1번지,표선면,표선면,1,2,6.88,14.63,9.94,18.37,13.75,19.97,16.47,3.05,28.52,19.59,48.84,0,34.95,60.43,39.57,6.88,12.17,27,33.67,20.25,
통시돈,가정식,제주 제주시 일도이동 1030-2번지 1층,일도이동,제주,3,4,16.91,12.44,10.51,10.01,15.18,17.34,17.61,0,0,7.1,82.04,10.86,81.19,68.37,31.63,9.17,13.11,32.63,30.23,14.88,https://pcmap.place.naver.com/place/21400967/home
도남시골낙지,단품요리 전문,제주 제주시 도남동 909-9번지,도남동,제주,3,2,15.14,16.9,23.04,17.31,17.35,10.26,0,9.13,45.56,13.28,32.03,0,86.55,54.55,45.45,3.72,18.1,36.11,29.92,12.16,https://pcmap.place.naver.com/place/16814506/home
종합정육식당,가정식,제주 제주시 오라일동 2454-5번지,오라일동,제주,4,5,0.15,17.24,14.83,16.14,16.43,18.44,16.77,15.89,34.71,15.63,31.14,2.64,64.83,69.71,30.29,8.89,18.47,27.46,27.07,18.11,https://pcmap.place.naver.com/place/32029131/home
세이슌한라대점,단품요리 전문,제주 제주시 노형동 3814-3번지 1층,노형동,제주,4,2,15.9,16.16,16.7,12.09,11.31,13.38,14.47,8.62,41.98,22.87,26.53,0,78.87,51.67,48.33,33.38,19.12,26.34,18.3,2.86,
소담소담,가정식,제주 서귀포시 성산읍 고성리 307-11번지 별동 1층,성산읍,성산읍,1,1,1.92,19.04,27.38,11.57,17.12,17.7,5.28,0,0,4.7,95.3,0,30.59,59.08,40.93,8.5,26.28,32.68,23.45,9.1,https://pcmap.place.naver.com/place/1863462871/home
제주돼지,가정식,제주 제주시 연동 261-68번지,연동,제주,2,2,23.11,27.11,9.56,13.56,5.39,6.78,14.5,8.17,42.67,10.78,28.22,10.17,35.21,67.55,32.45,11.95,27.4,18.1,20.05,22.5,
탐랑성,가정식,제주 서귀포시 강정동 2628-3번지,강정동,서귀포,1,3,0.31,20.49,11.96,11.5,15.47,19.46,20.81,0,0,2.06,97.94,0,3.24,64.36,35.64,10.39,24,31.5,22.93,11.2,
우정,가정식,제주 제주시 한림읍 한림리 951-9번지,한림읍,한림읍,4,4,14.79,14.19,16.63,1.26,13.21,19,20.92,63.53,34.1,2.37,0,0,56.93,69.99,30.01,8.9,17.28,27.37,28.71,17.75,
유카이스시,일식,제주 서귀포시 대정읍 안성리 2014-4번지 1층,대정읍,대정읍,3,4,14.6,14.21,14.37,13.71,18.94,20.38,3.79,0,0,1.29,66.01,32.71,41.42,49.35,50.65,17.38,28.32,38.48,11.85,3.95,
명품전통육개장,가정식,제주 제주시 노형동 941번지,노형동,제주,4,3,17.13,15.76,17.23,17,15.85,0.09,16.93,13.38,30.46,11.04,42.34,2.78,56.7,64.02,35.98,7.59,20.28,29.93,29.02,13.2,https://pcmap.place.naver.com/place/34673749/home
산호풍경이호점,중식,제주 제주시 우도면 연평리 317-5번지 B동 1층,우도면,우도면,4,4,13.08,16.26,13.07,13.96,13.71,15.14,14.77,20.41,50.02,29.57,0,0,2.76,48.27,51.73,15,21.05,26.21,24.39,13.36,https://pcmap.place.naver.com/place/1286278276/home
신옛촌,가정식,제주 서귀포시 안덕면 사계리 863-7번지,안덕면,안덕면,3,5,14.26,12.12,12.05,14.41,15.52,17.51,14.13,11.23,51.9,26.56,10.31,0,2.46,50.73,49.27,8.97,17.04,23.93,28.07,22.01,https://pcmap.place.naver.com/place/16958610/home
파라토도스,양식,제주 제주시 한림읍 금능리 1426-3번지,한림읍,한림읍,4,3,9.21,15.47,15.35,7.78,15.24,19.13,17.81,17.87,28.93,49.12,4.08,0,9.32,45.88,54.12,17.29,30.92,26.03,17.77,8,https://pcmap.place.naver.com/place/1554789738/home
